Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_001142.9	380249	381001	X	minus	tRNA(adenine34) deaminase	TAD2	853417	protein-coding	NM_001181469.1	NP_012499.1	250	YJL035C
NC_001142.9	381327	383375	X	plus	Hsp70 family ATPase KAR2	KAR2	853418	protein-coding	NM_001181468.3	NP_012500.3	682	YJL034W
NC_001142.9	383837	386149	X	plus	RNA-dependent ATPase HCA4	HCA4	853419	protein-coding	NM_001181467.1	NP_012501.1	770	YJL033W
NC_001142.9	386368	387438	X	minus	Rab geranylgeranyltransferase BET4	BET4	853421	protein-coding	NM_001181465.1	NP_012503.2	327	YJL031C
NC_001142.9	387657	388247	X	plus	spindle checkpoint protein MAD2	MAD2	853422	protein-coding	NM_001181464.3	NP_012504.3	196	YJL030W
NC_001142.9	388385	390853	X	minus	Vps53p	VPS53	853423	protein-coding	NM_001181463.1	NP_012505.1	822	YJL029C
NC_001142.9	391043	391115	X	minus	tRNA-Met	EMT5	853424	tRNA				YNCJ0016C
NC_001142.9	391311	391646	X	plus	uncharacterized protein		853425	protein-coding	NM_001181462.1	NP_012506.1	111	YJL028W
NC_001142.9	391833	392249	X	minus	uncharacterized protein		853426	protein-coding	NM_001181461.3	NP_012507.3	138	YJL027C
NC_001142.9	392404	393603	X	plus	ribonucleotide-diphosphate reductase subunit RNR2	RNR2	853427	protein-coding	NM_001181460.1	NP_012508.1	399	YJL026W
NC_001142.9	393967	395511	X	plus	Rrn7p	RRN7	853428	protein-coding	NM_001181459.1	NP_012509.1	514	YJL025W
NC_001142.9	395931	396592	X	minus	Aps3p	APS3	853429	protein-coding	NM_001181458.3	NP_012510.3	194	YJL024C
NC_001142.9	396726	396796	X	minus	tRNA-Gly		853430	tRNA				YNCJ0017C
NC_001142.9	397355	398398	X	minus	Pet130p	PET130	853432	protein-coding	NM_001181457.1	NP_012511.1	347	YJL023C
NC_001142.9	398937	402410	X	minus	Bbc1p	BBC1	853433	protein-coding	NM_001181454.1	NP_012514.2	1157	YJL020C
NC_001142.9	402897	404945	X	plus	Mps3p	MPS3	853434	protein-coding	NM_001181453.3	NP_012515.4	682	YJL019W
NC_001142.9	405588	407273	X	plus	Tph3p	TPH3	853436	protein-coding	NM_001181450.1	NP_012518.2	561	YJL016W
NC_001142.9	407558	409162	X	plus	chaperonin-containing T-complex subunit CCT3	CCT3	853438	protein-coding	NM_001181448.1	NP_012520.1	534	YJL014W
NC_001142.9	409493	411040	X	minus	Mad3p	MAD3	853439	protein-coding	NM_001181447.3	NP_012521.3	515	YJL013C
NC_001142.9	411234	413399	X	minus	Vtc4p	VTC4	853441	protein-coding	NM_001181446.1	NP_012522.2	721	YJL012C
NC_001142.9	414285	414770	X	minus	DNA-directed RNA polymerase III subunit RPC17	RPC17	853442	protein-coding	NM_001181445.2	NP_012523.2	161	YJL011C
NC_001142.9	414966	415038	X	plus	tRNA-Lys		853443	tRNA				YNCJ0018W
NC_001142.9	415931	416036	X	minus	tRNA-Trp		853444	tRNA				YNCJ0019C
NC_001142.9	417562	419562	X	minus	RNA-binding RNA processing protein NOP9	NOP9	853445	protein-coding	NM_001181444.3	NP_012524.3	666	YJL010C
NC_001142.9	419957	421663	X	minus	chaperonin-containing T-complex subunit CCT8	CCT8	853447	protein-coding	NM_001181442.2	NP_012526.1	568	YJL008C
NC_001142.9	422698	423012	X	minus	uncharacterized protein		853449	protein-coding	NM_001348847.1	NP_001335787.1	104	YJL007C
NC_001142.9	422937	423009	X	plus	tRNA-Met	EMT3	853448	tRNA				YNCJ0020W
NC_001142.9	423138	424109	X	minus	Ctk2p	CTK2	853450	protein-coding	NM_001181440.1	NP_012528.1	323	YJL006C
NC_001142.9	424432	424515	X	minus	tRNA-Leu	SUP51	853451	tRNA				YNCJ0021C
NC_001142.9	425157	431237	X	plus	adenylate cyclase	CYR1	853452	protein-coding	NM_001181439.3	NP_012529.3	2026	YJL005W
NC_001142.9	431589	432200	X	minus	Sys1p	SYS1	853453	protein-coding	NM_001181438.1	NP_012530.1	203	YJL004C
NC_001142.9	432644	433000	X	plus	Cox16p	COX16	853454	protein-coding	NM_001181437.1	NP_012531.1	118	YJL003W
NC_001142.9	433221	434651	X	minus	dolichyl-diphosphooligosaccharide--protein glycotransferase subunit OST1	OST1	853455	protein-coding	NM_001181436.3	NP_012532.3	476	YJL002C
NC_001142.9	435163	435926	X	plus	proteasome core particle subunit beta 1	PRE3	853456	protein-coding	NM_001181435.1	NP_012533.1	215	YJL001W
NC_001142.9	436802	438610	X	plus	Avt1p	AVT1	853457	protein-coding	NM_001181658.1	NP_012534.1	602	YJR001W
NC_001142.9	438865	440646	X	plus	rRNA-processing protein MPP10	MPP10	853458	protein-coding	NM_001181659.3	NP_012535.3	593	YJR002W
NC_001142.9	440994	442553	X	minus	Mrx12p	MRX12	853459	protein-coding	NM_001181660.1	NP_012536.2	519	YJR003C
NC_001142.9	442909	444861	X	minus	Sag1p	SAG1	853460	protein-coding	NM_001181661.1	NP_012537.1	650	YJR004C
NC_001142.9	445923	448025	X	plus	Apl1p	APL1	853461	protein-coding	NM_001181662.3	NP_012538.3	700	YJR005W
NC_001142.9	448477	448758	X	minus	Lso1p	LSO1	1466469	protein-coding	NM_001184533.1	NP_878106.1	93	YJR005C-A
NC_001142.9	449202	450665	X	plus	DNA-directed DNA polymerase delta subunit POL31	POL31	853462	protein-coding	NM_001181663.1	NP_012539.1	487	YJR006W
NC_001142.9	451020	451934	X	plus	translation initiation factor eIF2 subunit alpha	SUI2	853463	protein-coding	NM_001181664.3	NP_012540.3	304	YJR007W
NC_001142.9	452430	453446	X	plus	Mho1p	MHO1	853464	protein-coding	NM_001181665.1	NP_012541.1	338	YJR008W
NC_001142.9	453683	454681	X	minus	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH2	TDH2	853465	protein-coding	NM_001181666.1	NP_012542.1	332	YJR009C
NC_001142.9	456239	457774	X	plus	sulfate adenylyltransferase	MET3	853466	protein-coding	NM_001181668.3	NP_012543.3	511	YJR010W
NC_001142.9	458077	458361	X	minus	signal peptidase complex subunit SPC1	SPC1	853467	protein-coding	NM_001181667.1	NP_012544.1	94	YJR010C-A
NC_001142.9	458641	459426	X	minus	Cal4p	CAL4	853468	protein-coding	NM_001181669.1	NP_012545.1	261	YJR011C
NC_001142.9	459795	460193	X	minus	uncharacterized protein		853469	protein-coding	NM_001181670.4	NP_012546.4	132	YJR012C
NC_001142.9	460382	461593	X	plus	glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I	GPI14	853470	protein-coding	NM_001181671.1	NP_012547.2	403	YJR013W
NC_001142.9	461829	462425	X	plus	Tma22p	TMA22	853471	protein-coding	NM_001181672.1	NP_012548.1	198	YJR014W
NC_001142.9	462721	464253	X	plus	uncharacterized protein		853472	protein-coding	NM_001181673.3	NP_012549.3	510	YJR015W
NC_001142.9	464451	466208	X	minus	dihydroxy-acid dehydratase ILV3	ILV3	853473	protein-coding	NM_001181674.1	NP_012550.1	585	YJR016C
NC_001142.9	466521	467033	X	minus	peptidylprolyl isomerase ESS1	ESS1	853475	protein-coding	NM_001181675.1	NP_012551.2	170	YJR017C
NC_001142.9	467232	468281	X	minus	palmitoyl-CoA hydrolase	TES1	853477	protein-coding	NM_001181677.3	NP_012553.3	349	YJR019C
NC_001142.9	468555	469579	X	minus	Rec107p	REC107	853478	protein-coding	NM_001181679.1	NP_012555.1	314	YJR021C
NC_001142.9	469784	470113	X	plus	U4/U6-U5 snRNP complex subunit LSM8	LSM8	853479	protein-coding	NM_001181680.1	NP_012556.2	109	YJR022W
NC_001142.9	470230	470964	X	minus	methylthioribulose 1-phosphate dehydratase MDE1	MDE1	853481	protein-coding	NM_001181682.3	NP_012558.3	244	YJR024C
NC_001142.9	471138	471671	X	minus	3-hydroxyanthranilate 3,4-dioxygenase	BNA1	853482	protein-coding	NM_001181683.1	NP_012559.1	177	YJR025C
NC_001142.9	472760	478028	X	plus	gag-pol fusion protein		853484	protein-coding	NM_001181685.2	NP_012560.1	1755	YJR027W
NC_001142.9	472760	474082	X	plus	gag protein		853483	protein-coding	NM_001181684.3	NP_012561.3	440	YJR026W
NC_001142.9	478344	483612	X	plus	gag-pol fusion protein		853486	protein-coding	NM_001181687.2	NP_012562.1	1755	YJR029W
NC_001142.9	478344	479666	X	plus	gag protein		853485	protein-coding	NM_001181686.1	NP_012563.1	440	YJR028W
NC_001142.9	483959	486196	X	minus	Rbh2p	RBH2	853487	protein-coding	NM_001181688.3	NP_012564.3	745	YJR030C
NC_001142.9	486586	490812	X	minus	Arf family guanine nucleotide exchange factor GEA1	GEA1	853488	protein-coding	NM_001181689.1	NP_012565.1	1408	YJR031C
NC_001142.9	491081	492262	X	plus	peptidylprolyl isomerase CPR7	CPR7	853489	protein-coding	NM_001181690.1	NP_012566.1	393	YJR032W
NC_001142.9	492378	496451	X	minus	Rav1p	RAV1	853490	protein-coding	NM_001181691.3	NP_012567.3	1357	YJR033C
NC_001142.9	496683	497009	X	plus	Pet191p	PET191	853491	protein-coding	NM_001181692.1	NP_012568.1	108	YJR034W
NC_001142.9	497355	500612	X	plus	DNA-dependent ATPase RAD26	RAD26	853492	protein-coding	NM_001181693.1	NP_012569.1	1085	YJR035W
NC_001142.9	500713	503391	X	minus	putative E3 ubiquitin-protein ligase HUL4	HUL4	853494	protein-coding	NM_001181694.3	NP_012570.3	892	YJR036C
NC_001142.9	503936	507301	X	plus	Mlo127p	MLO127	853495	protein-coding	NM_001181697.1	NP_012573.1	1121	YJR039W
NC_001142.9	507746	510085	X	plus	Gef1p	GEF1	853497	protein-coding	NM_001181698.1	NP_012574.1	779	YJR040W
NC_001142.9	510239	513763	X	minus	Urb2p	URB2	853498	protein-coding	NM_001181699.3	NP_012575.3	1174	YJR041C
NC_001142.9	514055	516289	X	plus	Nup85p	NUP85	853499	protein-coding	NM_001181700.1	NP_012576.1	744	YJR042W
NC_001142.9	516461	517513	X	minus	DNA polymerase delta subunit POL32	POL32	853500	protein-coding	NM_001181701.1	NP_012577.1	350	YJR043C
NC_001142.9	517813	517884	X	minus	tRNA-Met	IMT3	853501	tRNA				YNCJ0022C
NC_001142.9	518763	519185	X	minus	Vps55p	VPS55	853502	protein-coding	NM_001181702.3	NP_012578.3	140	YJR044C
NC_001142.9	519638	521602	X	minus	Hsp70 family ATPase SSC1	SSC1	853503	protein-coding	NM_001181703.1	NP_012579.1	654	YJR045C
NC_001142.9	522048	523862	X	plus	Tah11p	TAH11	853504	protein-coding	NM_001181704.1	NP_012580.1	604	YJR046W
NC_001142.9	524012	524093	X	minus	tRNA-Ser		853505	tRNA				YNCJ0023C
NC_001142.9	524908	525381	X	minus	translation elongation factor eIF-5A	ANB1	853506	protein-coding	NM_001181705.3	NP_012581.3	157	YJR047C
NC_001142.9	526335	526664	X	plus	cytochrome c isoform 1	CYC1	853507	protein-coding	NM_001181706.1	NP_012582.1	109	YJR048W
NC_001142.9	526884	528476	X	minus	NADH/NAD(+) kinase	UTR1	853508	protein-coding	NM_001181707.1	NP_012583.1	530	YJR049C
NC_001142.9	528697	529404	X	plus	Isy1p	ISY1	853509	protein-coding	NM_001181708.3	NP_012584.3	235	YJR050W
NC_001142.9	529861	531366	X	plus	fumarate reductase	OSM1	853510	protein-coding	NM_001181709.1	NP_012585.1	501	YJR051W
NC_001142.9	531828	531898	X	plus	tRNA-Gly	SUF23	853511	tRNA				YNCJ0024W
NC_001142.9	532062	533759	X	plus	UV-damaged DNA-binding protein RAD7	RAD7	853512	protein-coding	NM_001181710.1	NP_012586.1	565	YJR052W
NC_001142.9	534027	535751	X	plus	Bfa1p	BFA1	853513	protein-coding	NM_001181711.3	NP_012587.3	574	YJR053W
NC_001142.9	536056	537549	X	plus	Kch1p	KCH1	853514	protein-coding	NM_001181712.1	NP_012588.1	497	YJR054W
NC_001142.9	538555	538626	X	plus	tRNA-Arg	HSX1	853515	tRNA				YNCJ0025W
NC_001142.9	538772	539266	X	plus	Hit1p	HIT1	853516	protein-coding	NM_001181713.1	NP_012589.1	164	YJR055W
NC_001142.9	541508	541579	X	plus	tRNA-Asp		853517	tRNA				YNCJ0026W
NC_001142.9	541792	542502	X	minus	uncharacterized protein		853518	protein-coding	NM_001181714.3	NP_012590.3	236	YJR056C
NC_001142.9	542956	543044	X	minus	tRNA-Tyr	SUP4	853519	tRNA				YNCJ0027C
NC_001142.9	544062	544712	X	plus	bifunctional thymidylate/uridylate kinase	CDC8	853520	protein-coding	NM_001181715.1	NP_012591.1	216	YJR057W
NC_001142.9	544732	545175	X	minus	Aps2p	APS2	853521	protein-coding	NM_001181716.1	NP_012592.1	147	YJR058C
NC_001142.9	545787	548243	X	plus	protein kinase PTK2	PTK2	853522	protein-coding	NM_001181717.3	NP_012593.3	818	YJR059W
NC_001142.9	548759	549814	X	plus	Cbf1p	CBF1	853523	protein-coding	NM_001181718.1	NP_012594.1	351	YJR060W
NC_001142.9	550511	553318	X	plus	Mnn14p	MNN14	853524	protein-coding	NM_001181719.1	NP_012595.1	935	YJR061W
NC_001142.9	553476	554849	X	minus	amidase	NTA1	853525	protein-coding	NM_001181720.3	NP_012596.3	457	YJR062C
NC_001142.9	555195	555572	X	plus	DNA-directed RNA polymerase I core subunit RPA12	RPA12	853526	protein-coding	NM_001181721.1	NP_012597.1	125	YJR063W
NC_001142.9	555914	557602	X	plus	chaperonin-containing T-complex subunit CCT5	CCT5	853527	protein-coding	NM_001181722.1	NP_012598.1	562	YJR064W
NC_001142.9	557809	559158	X	minus	actin-related protein 3	ARP3	853528	protein-coding	NM_001181723.3	NP_012599.3	449	YJR065C
NC_001142.9	559416	566828	X	plus	phosphatidylinositol kinase-related protein kinase TOR1	TOR1	853529	protein-coding	NM_001181724.1	NP_012600.1	2470	YJR066W
NC_001142.9	567019	567444	X	minus	Yae1p	YAE1	853530	protein-coding	NM_001181725.1	NP_012601.1	141	YJR067C
NC_001142.9	567643	568704	X	plus	replication factor C subunit 2	RFC2	853531	protein-coding	NM_001181726.3	NP_012602.3	353	YJR068W
NC_001142.9	568806	569399	X	minus	nucleoside triphosphate pyrophosphohydrolase HAM1	HAM1	853532	protein-coding	NM_001181727.1	NP_012603.1	197	YJR069C
NC_001142.9	569621	570598	X	minus	deoxyhypusine monooxygenase	LIA1	853534	protein-coding	NM_001181728.1	NP_012604.1	325	YJR070C
NC_001142.9	570967	572124	X	minus	GTPase NPA3	NPA3	853535	protein-coding	NM_001181730.3	NP_012606.3	385	YJR072C
NC_001142.9	572315	572935	X	minus	bifunctional phosphatidyl-N-methylethanolamine N-methyltransferase/phosphatidyl-N-dimethylethanolamine N-methyltransferase	OPI3	853536	protein-coding	NM_001181731.1	NP_012607.1	206	YJR073C
NC_001142.9	573095	573751	X	plus	Ran GTPase-binding protein MOG1	MOG1	853537	protein-coding	NM_001181732.1	NP_012608.1	218	YJR074W
NC_001142.9	573981	575171	X	plus	alpha-1,6-mannosyltransferase	HOC1	853538	protein-coding	NM_001181733.3	NP_012609.3	396	YJR075W
NC_001142.9	575354	576601	X	minus	septin CDC11	CDC11	853539	protein-coding	NM_001181734.1	NP_012610.1	415	YJR076C
NC_001142.9	577255	578190	X	minus	Mir1p	MIR1	853540	protein-coding	NM_001181735.1	NP_012611.1	311	YJR077C
NC_001142.9	578860	580221	X	plus	dioxygenase BNA2	BNA2	853541	protein-coding	NM_001181736.3	NP_012612.3	453	YJR078W
NC_001142.9	580205	581239	X	plus	uncharacterized protein		853542	protein-coding	NM_001181737.1	NP_012613.1	109	YJR079W
NC_001142.9	580432	581616	X	minus	Aim24p	AIM24	853543	protein-coding	NM_001181738.1	NP_012614.1	394	YJR080C
NC_001142.9	581914	582255	X	minus	Eaf6p	EAF6	853544	protein-coding	NM_001181739.3	NP_012615.3	113	YJR082C
NC_001142.9	582608	583537	X	minus	Acf4p	ACF4	853545	protein-coding	NM_001181740.1	NP_012616.1	309	YJR083C
NC_001142.9	583733	585004	X	plus	uncharacterized protein		853546	protein-coding	NM_001181741.1	NP_012617.1	423	YJR084W
NC_001142.9	585120	585437	X	minus	Tmh11p	TMH11	853547	protein-coding	NM_001181742.3	NP_012618.3	105	YJR085C
NC_001142.9	586068	586400	X	plus	Ste18p	STE18	853548	protein-coding	NM_001181743.1	NP_012619.1	110	YJR086W
NC_001142.9	586495	587373	X	minus	Emc2p	EMC2	853550	protein-coding	NM_001181745.1	NP_012621.1	292	YJR088C
NC_001142.9	587718	590582	X	plus	survivin	BIR1	853551	protein-coding	NM_001181746.3	NP_012622.3	954	YJR089W
NC_001142.9	590872	594327	X	minus	SCF ubiquitin ligase complex subunit GRR1	GRR1	853552	protein-coding	NM_001181747.1	NP_012623.1	1151	YJR090C
NC_001142.9	595061	598336	X	minus	Jsn1p	JSN1	853553	protein-coding	NM_001181748.1	NP_012624.1	1091	YJR091C
NC_001142.9	598735	603078	X	plus	Bud4p	BUD4	853554	protein-coding	NM_001181749.3	NP_012625.5	1447	YJR092W
NC_001142.9	603220	604203	X	minus	cleavage polyadenylation factor subunit FIP1	FIP1	853555	protein-coding	NM_001181750.1	NP_012626.1	327	YJR093C
NC_001142.9	604569	605651	X	minus	transcription factor IME1	IME1	853556	protein-coding	NM_001181751.1	NP_012627.1	360	YJR094C
NC_001142.9	605936	607424	X	minus	IRT1	IRT1	23547381	ncRNA	NR_132197.1			YNCJ0028C
NC_001142.9	608305	608858	X	plus	ribosomal 60S subunit protein L43B	RPL43B	853557	protein-coding	NM_001181752.3	NP_012628.3	92	YJR094W-A
NC_001142.9	609773	610741	X	plus	Sfc1p	SFC1	853558	protein-coding	NM_001181753.1	NP_012629.1	322	YJR095W
NC_001142.9	611195	612043	X	plus	aldo-keto reductase superfamily protein		853559	protein-coding	NM_001181754.1	NP_012630.1	282	YJR096W
NC_001142.9	612413	612931	X	plus	Jjj3p	JJJ3	853560	protein-coding	NM_001181755.3	NP_012631.3	172	YJR097W
NC_001142.9	613186	615156	X	minus	uncharacterized protein		853561	protein-coding	NM_001181756.2	NP_012632.2	656	YJR098C
NC_001142.9	615576	616286	X	plus	ubiquitin-specific protease YUH1	YUH1	853562	protein-coding	NM_001181757.1	NP_012633.1	236	YJR099W
NC_001142.9	616351	617334	X	minus	Aim25p	AIM25	853563	protein-coding	NM_001181758.3	NP_012634.3	327	YJR100C
NC_001142.9	617919	618019	X	plus	tRNA-Leu		853564	tRNA				YNCJ0029W
NC_001142.9	618234	619034	X	plus	mitochondrial 37S ribosomal protein RSM26	RSM26	853565	protein-coding	NM_001181759.1	NP_012635.1	266	YJR101W
NC_001142.9	619157	619765	X	minus	ESCRT-II subunit protein VPS25	VPS25	853566	protein-coding	NM_001181760.1	NP_012636.1	202	YJR102C
NC_001142.9	620754	622490	X	plus	CTP synthase URA8	URA8	853567	protein-coding	NM_001181761.4	NP_012637.4	578	YJR103W
NC_001142.9	622550	623014	X	minus	superoxide dismutase SOD1	SOD1	853568	protein-coding	NM_001181762.1	NP_012638.1	154	YJR104C
NC_001142.9	623581	624603	X	plus	adenosine kinase	ADO1	853569	protein-coding	NM_001181763.1	NP_012639.1	340	YJR105W
NC_001142.9	624838	627015	X	plus	Ecm27p	ECM27	853570	protein-coding	NM_001181764.4	NP_012640.4	725	YJR106W
NC_001142.9	627340	628326	X	plus	putative lipase	LIH1	853571	protein-coding	NM_001181765.2	NP_012641.2	328	YJR107W
NC_001142.9	628457	628693	X	minus	uncharacterized protein		65052910	protein-coding	NM_001395036.1	NP_001381966.1	78	YJR107C-A
NC_001142.9	628712	629083	X	plus	Abm1p	ABM1	853572	protein-coding	NM_001181766.1	NP_012642.1	123	YJR108W
NC_001142.9	629585	632941	X	minus	carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA2	CPA2	853573	protein-coding	NM_001181767.3	NP_012643.3	1118	YJR109C
NC_001142.9	633615	635681	X	plus	phosphatidylinositol-3-phosphatase YMR1	YMR1	853574	protein-coding	NM_001181768.1	NP_012644.1	688	YJR110W
NC_001142.9	635855	636706	X	minus	Pxp2p	PXP2	853575	protein-coding	NM_001181769.1	NP_012645.1	283	YJR111C
NC_001142.9	637030	637635	X	plus	MIND complex subunit NNF1	NNF1	853576	protein-coding	NM_001181770.3	NP_012646.3	201	YJR112W
NC_001142.9	637790	638168	X	plus	uncharacterized protein		1466470	protein-coding	NM_001184523.1	NP_878107.1	109	YJR112W-A
NC_001142.9	638232	638975	X	minus	mitochondrial 37S ribosomal protein RSM7	RSM7	853578	protein-coding	NM_001181771.1	NP_012647.1	247	YJR113C
NC_001142.9	639942	640451	X	plus	uncharacterized protein		853579	protein-coding	NM_001181773.3	NP_012649.3	169	YJR115W
NC_001142.9	640825	641664	X	plus	Tda4p	TDA4	853580	protein-coding	NM_001181774.1	NP_012650.1	279	YJR116W
NC_001142.9	642007	643368	X	plus	zinc metalloprotease	STE24	853581	protein-coding	NM_001181775.1	NP_012651.1	453	YJR117W
NC_001142.9	643490	644101	X	minus	Ilm1p	ILM1	853582	protein-coding	NM_001181776.3	NP_012652.3	203	YJR118C
NC_001142.9	644304	646490	X	minus	histone demethylase	JHD2	853583	protein-coding	NM_001181777.1	NP_012653.1	728	YJR119C
NC_001142.9	647126	647476	X	plus	Dmo1p	DMO1	853584	protein-coding	NM_001181778.1	NP_012654.1	116	YJR120W
NC_001142.9	647607	649142	X	plus	F1F0 ATP synthase subunit beta	ATP2	853585	protein-coding	NM_001181779.3	NP_012655.3	511	YJR121W
NC_001142.9	649776	651269	X	plus	Iba57p	IBA57	853586	protein-coding	NM_001181780.1	NP_012656.1	497	YJR122W
NC_001142.9	651901	652578	X	plus	ribosomal 40S subunit protein S5	RPS5	853587	protein-coding	NM_001181781.1	NP_012657.1	225	YJR123W
NC_001142.9	652892	654238	X	minus	uncharacterized protein		853588	protein-coding	NM_001181782.3	NP_012658.3	448	YJR124C
NC_001142.9	654737	655963	X	minus	Ent3p	ENT3	853589	protein-coding	NM_001181783.1	NP_012659.1	408	YJR125C
NC_001142.9	656254	658689	X	minus	putative zinc metalloprotease	VPS70	853590	protein-coding	NM_001181784.1	NP_012660.1	811	YJR126C
NC_001142.9	658917	663059	X	minus	Rsf2p	RSF2	853592	protein-coding	NM_001181785.3	NP_012661.3	1380	YJR127C
NC_001142.9	662921	663280	X	plus	uncharacterized protein		853591	protein-coding	NM_001348848.1	NP_001335788.1	119	YJR128W
NC_001142.9	663749	663942	X	plus	SNR3	SNR3	9164912	snoRNA	NR_132198.1			YNCJ0030W
NC_001142.9	664000	665019	X	minus	protein-lysine N-methyltransferase	EFM3	853593	protein-coding	NM_001181787.2	NP_012663.2	339	YJR129C
NC_001142.9	665218	667137	X	minus	cystathionine gamma-synthase	STR2	853594	protein-coding	NM_001181788.1	NP_012664.1	639	YJR130C
NC_001142.9	667644	669293	X	plus	mannosyl-oligosaccharide 1,2-alpha-mannosidase	MNS1	853595	protein-coding	NM_001181789.3	NP_012665.3	549	YJR131W
NC_001142.9	669522	672668	X	plus	Nmd5p	NMD5	853596	protein-coding	NM_001181790.2	NP_012666.2	1048	YJR132W
NC_001142.9	672991	673620	X	plus	xanthine phosphoribosyltransferase	XPT1	853597	protein-coding	NM_001181791.1	NP_012667.1	209	YJR133W
NC_001142.9	673729	675852	X	minus	Sgm1p	SGM1	853598	protein-coding	NM_001181792.3	NP_012668.3	707	YJR134C
NC_001142.9	676059	676778	X	minus	Mcm22p	MCM22	853599	protein-coding	NM_001181793.1	NP_012669.1	239	YJR135C
NC_001142.9	676971	677234	X	plus	protein transporter TIM8	TIM8	853600	protein-coding	NM_001184382.1	NP_058168.1	87	YJR135W-A
NC_001142.9	677441	678706	X	minus	Tti2p	TTI2	853601	protein-coding	NM_001181794.3	NP_012670.3	421	YJR136C
NC_001142.9	678957	683285	X	minus	sulfite reductase (NADPH) subunit beta	MET5	853602	protein-coding	NM_001181795.1	NP_116579.1	1442	YJR137C
NC_001142.9	684567	689321	X	plus	GTPase-activating protein IML1	IML1	853603	protein-coding	NM_001181796.2	NP_012672.1	1584	YJR138W
NC_001142.9	689445	690524	X	minus	homoserine dehydrogenase	HOM6	853604	protein-coding	NM_001181797.3	NP_012673.3	359	YJR139C
NC_001142.9	690750	695696	X	minus	Hir3p	HIR3	853605	protein-coding	NM_001181798.1	NP_012674.1	1648	YJR140C
NC_001142.9	695906	696949	X	plus	putative polyadenylation protein	IPA1	853606	protein-coding	NM_001181799.1	NP_012675.1	347	YJR141W
NC_001142.9	697141	698169	X	plus	uncharacterized protein		853607	protein-coding	NM_001181800.3	NP_012676.3	342	YJR142W
NC_001142.9	698326	700614	X	minus	dolichyl-phosphate-mannose-protein mannosyltransferase	PMT4	853608	protein-coding	NM_001181801.1	NP_012677.1	762	YJR143C
NC_001142.9	700882	701691	X	plus	Mgm101p	MGM101	853609	protein-coding	NM_001181802.1	NP_012678.1	269	YJR144W
NC_001142.9	702027	703068	X	minus	ribosomal 40S subunit protein S4A	RPS4A	853610	protein-coding	NM_001181803.3	NP_012679.3	261	YJR145C
NC_001142.9	703885	704238	X	plus	uncharacterized protein		853611	protein-coding	NM_001270754.1	NP_001257683.1	117	YJR146W
NC_001142.9	704196	705272	X	plus	Hms2p	HMS2	853612	protein-coding	NM_001181805.1	NP_012681.1	358	YJR147W
NC_001142.9	705744	706874	X	plus	branched-chain-amino-acid transaminase BAT2	BAT2	853613	protein-coding	NM_001181806.1	NP_012682.1	376	YJR148W
NC_001142.9	707160	708374	X	plus	putative nitronate monooxygenase		853614	protein-coding	NM_001181807.4	NP_012683.4	404	YJR149W
NC_001142.9	708811	709707	X	minus	Dan1p	DAN1	853615	protein-coding	NM_001181808.4	NP_012684.4	298	YJR150C
NC_001142.9	712255	715740	X	minus	Dan4p	DAN4	853616	protein-coding	NM_001181809.2	NP_012685.1	1161	YJR151C
NC_001142.9	717580	717630	X	plus	uncharacterized protein		1466471	protein-coding	NM_001184556.1	NP_878108.1	16	YJR151W-A
NC_001142.9	719666	721297	X	plus	allantoate permease	DAL5	853617	protein-coding	NM_001181810.3	NP_012686.3	543	YJR152W
NC_001142.9	722815	723900	X	plus	endo-polygalacturonase	PGU1	853618	protein-coding	NM_001181811.3	NP_012687.3	361	YJR153W
NC_001142.9	725784	726824	X	plus	uncharacterized protein		853619	protein-coding	NM_001181812.1	NP_012688.1	346	YJR154W
NC_001142.9	727405	728271	X	plus	putative aryl-alcohol dehydrogenase	AAD10	853620	protein-coding	NM_001181813.1	NP_012689.1	288	YJR155W
NC_001142.9	728574	729596	X	minus	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase	THI11	853621	protein-coding	NM_001181814.3	NP_012690.3	340	YJR156C
NC_001142.9	732440	734143	X	plus	hexose transporter HXT16	HXT16	853623	protein-coding	NM_001181816.3	NP_012692.3	567	YJR158W
NC_001142.9	736044	737117	X	plus	L-iditol 2-dehydrogenase SOR1	SOR1	853624	protein-coding	NM_001181817.1	NP_012693.1	357	YJR159W
NC_001142.9	738008	739816	X	minus	alpha-glucoside permease	MPH3	853625	protein-coding	NM_001181818.1	NP_012694.1	602	YJR160C
NC_001142.9	742848	743999	X	minus	Cos5p	COS5	853626	protein-coding	NM_001181819.3	NP_012695.3	383	YJR161C
NC_001143.9	1810	2181	XI	minus	seripauperin PAU16	PAU16	853656	protein-coding	NM_001179789.1	NP_012698.1	123	YKL224C
NC_001143.9	3503	5620	XI	minus	uncharacterized protein		853658	protein-coding	NM_001179787.1	NP_012700.1	705	YKL222C
NC_001143.9	6107	7528	XI	plus	Mch2p	MCH2	853659	protein-coding	NM_001179786.2	NP_012701.2	473	YKL221W
